studno,studentname,birthday,degree,major,unitsearned
2008-62025,Agace Brennenstuhl,1998-08-10,Bachelor of Science in Agricultural Chemistry,nulla integer pede,123
2015-84162,Jocelyne Ridde,1996-08-28,Bachelor of Science in Development Communication,duis,78
2000-87289,Brice Fraczek,1998-05-18,Bachelor of Arts in Communication Arts,curabitur,41
2006-51370,Harwilll Jacobson,1990-12-22,Bachelor of Science in Development Communication,sapien,8
2017-25155,Aurel Braisted,1992-07-18,Bachelor of Science in Agricultural Engineering,scelerisque mauris sit,40
1998-40085,Natalina Packington,1991-08-12,Bachelor of Science in Nutrition,penatibus et magnis,161
2019-67331,Vinnie Boskell,1991-09-03,Bachelor of Science in Chemistry,lorem integer tincidunt,104
1999-49733,Celinda Blaxland,1997-11-08,Bachelor of Science in Botany,viverra diam vitae,103
2003-90885,Claudina Posnett,1993-06-26,Bachelor of Science in Agricultural Biotechnology,eu,121
2018-26792,Brice Richards,1999-03-18,Bachelor of Science in Development Communication,est,17
1990-51889,Obidiah Ballintime,1998-06-07,Bachelor of Science in Chemistry,aliquam sit,21
2011-37779,Ado Ginnell,2000-06-20,Bachelor of Science in Sugar Technology,ridiculus mus vivamus,120
2019-02605,Coreen de Mullett,1998-01-08,Bachelor of Science in Computer Science,ut massa,162
2015-13278,Bab McGebenay,1993-05-10,Bachelor of Science in Statistics,viverra dapibus nulla,188
2004-33309,Karia Smitham,1995-06-27,Bachelor of Science in Food Technology,quam a odio,29
2010-45604,Blair Hudspeth,1990-11-24,Bachelor of Science in Development Communication,turpis nec,157
2018-25880,Neddie Kinchington,2000-08-07,Bachelor of Science in Industrial Engineering,at diam,185
2017-31276,Anderson Malin,1998-03-28,Bachelor of Science in Human Ecology,magna,104
1994-67719,Anton Pendleberry,1990-04-20,Bachelor of Science in Civil Engineering,morbi,161
2007-96124,Blinnie Campbell,1992-07-04,Bachelor of Science in Agricultural Extension,sed sagittis,154
2013-06713,Iormina Haycraft,1996-07-14,Bachelor of Science in Math and Science Teaching,vestibulum ante,123
2005-44152,Noelle Snawdon,1999-05-12,Bachelor of Science in Agricultural Economics,duis at,46
2010-77838,Timmy Navarro,1998-02-11,Bachelor of Science in Agricultural and Biosystems Engineering,penatibus,47
2006-20622,Gustavo Sussex,1999-06-03,Bachelor of Arts in Sociology,cras,198
1997-01635,Hollis Dunford,1993-04-29,Bachelor of Science in Computer Science,adipiscing elit proin,27
2011-23383,Kenyon Goodson,1997-07-10,Bachelor of Science in Development Communication,vel lectus in,147
2017-12875,Penelopa Danelut,1991-06-28,Bachelor of Science in Human Ecology,sit amet,20
2002-34911,Fleur Burk,1994-11-07,Bachelor of Science in Human Ecology,feugiat,105
2013-57436,Pat Gornal,1992-03-18,Bachelor of Science in Mathematics,sed magna at,132
2004-41628,Taddeusz Dudbridge,1992-02-20,Bachelor of Science in Applied Physics,parturient montes,198
1996-72697,Nona Hamblington,1992-04-02,Bachelor of Science in Food Technology,tempor convallis nulla,142
2018-91672,Tammy Sepey,1996-02-24,Bachelor of Science in Home Technology,odio justo,83
2003-11508,Barry Gethen,1991-01-14,Bachelor of Science in Agricultural Engineering,lectus in,135
2007-47769,Mohandis Carress,1997-11-21,Bachelor of Science in Computer Science,nibh,105
2005-57760,Harrietta McCardle,1995-10-29,Bachelor of Science in Chemical Engineering,at,140
1995-60119,Ealasaid Rivilis,1993-10-04,Bachelor of Science in Electrical Engineering,aliquam sit amet,63
2013-35218,Brodie McCudden,1996-11-15,Bachelor of Science in Electrical Engineering,velit donec,67
2018-77008,Rubina Gerran,1990-11-20,Bachelor of Science in Agricultural Engineering,ut massa,159
2002-65191,Cindi Iacovacci,1999-03-21,Bachelor of Science in Math and Science Teaching,aliquet,74
1997-71305,Forster Garraway,1992-04-23,Bachelor of Science in Agricultural Business,lobortis,6
1991-07102,Tyler Pawlata,1990-10-31,Bachelor of Science in Statistics,rutrum,96
2008-96042,Bernadene Dinjes,1994-09-28,Bachelor of Agriculture,morbi,111
1993-41391,Bryant Danniel,1997-07-24,Bachelor of Science in Forest Products Engineering,in,107
2011-98787,Abbot O'Halleghane,1993-07-17,Bachelor of Science in Food Technology,lorem quisque ut,59
2002-15601,Sheila Marmon,1997-09-21,Bachelor of Arts in Philosophy,fusce,25
1997-20537,Chaddy Peverell,1995-12-07,Bachelor of Science in Agricultural Engineering,dapibus,67
2017-22268,Jerrine Ackroyd,1993-08-09,Bachelor of Science in Human Ecology,turpis,127
2007-74233,Marita Giron,1996-07-17,Bachelor of Science in Statistics,eu tincidunt in,32
2010-62390,Leicester Golde,1995-03-16,Bachelor of Science in Agricultural Chemistry,accumsan,6
2004-85793,Dalton Redfield,1993-10-29,Bachelor of Science in Agricultural Education,metus,141
2018-29006,Tandy Durling,1995-11-17,Bachelor of Science in Nutrition,ultrices posuere cubilia,103
1990-47779,Lia Hawksley,1995-08-01,Bachelor of Science in Agricultural Engineering,curabitur convallis,35
1993-32267,Nadya Lantaph,1990-07-24,Bachelor of Arts in Philosophy,velit nec nisi,90
2017-54520,Garrot Manntschke,1991-02-14,Bachelor of Agriculture,porttitor lacus,97
2013-97330,Glenn Pimblett,1996-10-13,Bachelor of Science in Economics,congue etiam,118
1993-49587,Miguelita Matias,1992-08-27,Bachelor of Science in Industrial Engineering,fusce lacus purus,8
2010-79393,Bordy Loughney,1990-08-06,Bachelor of Science in Home Technology,quis turpis sed,19
2001-74854,Koo Ygou,1993-07-06,Bachelor of Science in Agricultural and Biosystems Engineering,id massa id,171
2015-76672,Toni Bartelet,1996-08-18,Bachelor of Science in Statistics,vel sem sed,103
2017-90267,Minnaminnie Kristoffersson,1998-08-28,Bachelor of Arts in Sociology,sapien,46
2004-20136,Giffard Carrett,1993-05-15,Bachelor of Arts in Communication Arts,pharetra magna ac,55
2001-96600,Frederica Lafayette,1996-02-14,Bachelor of Science in Forestry,donec dapibus duis,22
1992-24915,Ortensia Neising,1991-08-07,Bachelor of Arts in Philosophy,risus praesent lectus,88
2013-69580,Noell Thiolier,2000-07-28,Bachelor of Science in Chemistry,primis in faucibus,18
1993-22790,Janela Webley,1999-06-03,Bachelor of Science in Agricultural Extension,ultrices vel augue,78
2014-29708,Deane Layhe,1999-08-09,Bachelor of Science in Agricultural Economics,convallis nunc proin,189
2018-60781,Kathie Tearney,1992-02-23,Bachelor of Arts in Communication Arts,lorem ipsum dolor,140
2011-65426,Griffy Garnett,1998-01-19,Bachelor of Science in Agricultural Chemistry,tincidunt lacus at,7
1993-44570,Sky De Luna,1997-05-29,Bachelor of Science in Mathematics,in,8
2000-88216,Janifer Provost,1994-09-08,Bachelor of Science in Agricultural Education,proin at turpis,106
1994-32066,Cristen Myner,1996-01-26,Bachelor of Science in Industrial Engineering,pede,170
2019-63882,Marjie Cockman,1999-05-12,Bachelor of Science in Biology,nulla tempus vivamus,49
2014-29231,Frannie Nayer,1997-04-17,Bachelor of Science in Agriculture,amet justo,68
1995-39199,Thomas Kerby,2000-02-10,Bachelor of Science in Zoology,sit,103
1991-75397,Pauly Sarfass,1990-05-08,Bachelor of Science in Agricultural Extension,sed,9
2016-34102,Tanitansy Beeble,1993-12-16,Bachelor of Science in Agricultural Education,venenatis,136
1995-14966,Ivar Northey,1997-11-09,Bachelor of Science in Economics,in consequat,121
2013-90322,Nevins Maxted,1990-12-21,Bachelor of Science in Agriculture,arcu,182
1996-42582,Angie Posnette,1994-10-30,Bachelor of Science in Forest Products Engineering,libero non,136
1990-72940,Dorelia Edel,1993-09-15,Bachelor of Science in Biology,congue risus,180
1990-69996,Saudra Stanborough,1996-01-09,Bachelor of Science in Nutrition,justo,148
2016-19697,Jerome Garm,1998-02-10,Bachelor of Arts in Communication Arts,elementum nullam varius,136
1990-10322,Ashia Minto,1999-01-06,Bachelor of Science in Agricultural Business,sed justo,32
2012-48961,Wes Dmitrichenko,1993-03-21,Bachelor of Science in Agricultural Education,hac,72
2016-22090,Oralie Shanahan,1995-09-05,Bachelor of Science in Agricultural Chemistry,ut,42
2009-67601,Noami Huby,1991-11-01,Bachelor of Science in Human Ecology,risus praesent,107
1994-58710,Laurene Renard,1992-03-05,Bachelor of Science in Agricultural Chemistry,nulla quisque arcu,60
2001-55100,Naomi De Vries,1995-10-20,Bachelor of Science in Agricultural Chemistry,purus sit amet,42
2001-27085,Josefa Izon,1990-08-10,Bachelor of Science in Agricultural Biotechnology,sapien arcu,113
1993-52230,Benita Tamblyn,2000-04-22,Bachelor of Science in Botany,ut erat,124
2018-40929,Izak Fronek,1996-03-25,Bachelor of Science in Agricultural Chemistry,lacinia erat vestibulum,24
2016-43182,Kellby Poate,1999-02-06,Bachelor of Science in Development Communication,non,169
1991-37742,Thane Farnorth,1990-11-30,Bachelor of Science in Electrical Engineering,amet sem fusce,135
1995-90446,Michele Carrigan,1997-02-19,Bachelor of Science in Biology,nulla sed,111
2011-98498,Anjela Haythorn,1990-07-22,Bachelor of Science in Home Technology,a nibh in,131
2007-90508,Marshal Clarage,1996-07-12,Bachelor of Science in Agricultural Biotechnology,et ultrices,109
2010-82560,Allianora Metham,1990-12-04,Bachelor of Science in Agricultural Extension,leo pellentesque ultrices,124
2008-16426,Paxton Spellacy,1997-01-04,Bachelor of Science in Chemical Engineering,est phasellus sit,194
2018-93037,Fredric Burrett,1993-11-18,Bachelor of Science in Agricultural Chemistry,fermentum justo,24
2019-36479,Clayson Yoell,1995-09-22,Bachelor of Science in Applied Mathematics,ut mauris eget,115
2001-69187,Georgy Webburn,1997-11-03,Bachelor of Science in Nutrition,habitasse,16
2016-87991,Nahum Ainsbury,1991-11-19,Bachelor of Science in Electrical Engineering,duis aliquam,134
2018-32531,Kimberley Dain,1998-10-09,Bachelor of Science in Development Communication,libero quis orci,41
2018-94247,Allissa Larvin,1999-02-23,Bachelor of Science in Agricultural Extension,in faucibus orci,8
2006-46297,Halley Huddlestone,1990-12-10,Bachelor of Science in Zoology,in purus,145
2006-79832,Zitella Henrichs,1991-06-05,Bachelor of Science in Civil Engineering,tincidunt,8
2015-14315,Hiram Norley,1992-07-08,Bachelor of Arts in Philosophy,lacinia eget tincidunt,55
2015-95327,Irvine Folk,2000-03-27,Bachelor of Science in Computer Science,lacus,41
1996-29711,Zared Chyuerton,1998-07-17,Bachelor of Science in Agricultural Extension,odio elementum,113
2011-65705,Monah Ringwood,2000-09-19,Bachelor of Science in Agricultural Economics,rhoncus dui,45
2011-00244,Leonardo Aleveque,1997-02-26,Bachelor of Science in Industrial Engineering,vestibulum ante,34
2010-13284,Isak Cossell,1998-11-22,Bachelor of Science in Sugar Technology,eleifend,80
2010-49905,Dacia Birdfield,2000-01-25,Bachelor of Science in Agricultural Economics,libero nullam sit,123
1994-99089,Stoddard De Vaan,1992-08-03,Bachelor of Science in Industrial Engineering,at lorem,172
2015-48544,Calhoun Scade,1997-01-21,Bachelor of Science in Development Communication,enim,93
2012-49764,Joshuah Georgeou,1991-04-26,Bachelor of Science in Chemistry,auctor gravida,163
2012-60542,Ella Leggen,1991-04-06,Bachelor of Science in Civil Engineering,etiam faucibus cursus,33
1991-39112,Scarface Howford,1997-04-03,Bachelor of Arts in Philosophy,diam,124
2010-32586,Morgana Duddin,1999-07-23,Bachelor of Science in Agricultural and Biosystems Engineering,amet nunc viverra,93
2019-12829,Consuela Moyle,1999-11-21,Bachelor of Science in Human Ecology,et ultrices posuere,40
2017-37691,Candis Huntly,1997-08-06,Bachelor of Science in Electrical Engineering,ut,166
2007-38458,Agustin Imesen,1996-06-13,Bachelor of Science in Applied Physics,hac habitasse,104
2019-08906,Marje Robiou,1993-06-21,Bachelor of Agriculture,velit id pretium,152
2019-40820,Shirley MacCathay,1998-11-05,Bachelor of Science in Agricultural Extension,vulputate luctus,17
1993-21863,Ami Kippin,1995-11-14,Bachelor of Science in Math and Science Teaching,posuere cubilia curae,154
1994-61651,Alvis Hamblin,1992-09-22,Bachelor of Science in Agricultural Education,lorem id ligula,53
2019-74565,Ganny Vinker,1995-05-17,Bachelor of Science in Agribusiness Management,libero convallis,164
2002-44492,Marne Stait,1993-05-21,Bachelor of Science in Statistics,curabitur in libero,105
2019-39134,Quinton Gilding,1994-12-09,Bachelor of Science in Statistics,lacinia nisi venenatis,167
2005-54157,Sylvia Collingwood,2000-07-02,Bachelor of Science in Sugar Technology,potenti cras in,33
2013-31844,Terri Brogi,1992-04-23,Bachelor of Science in Nutrition,nibh quisque,45
2005-28988,Jackie Seagar,1993-02-21,Bachelor of Science in Agricultural and Biosystems Engineering,pellentesque viverra,79
2018-04976,Lauren Dimitrov,1999-12-18,Bachelor of Arts in Communication Arts,magna bibendum imperdiet,99
2014-15742,Lishe Klimushev,1996-09-07,Bachelor of Science in Biology,tortor eu pede,153
2005-20983,Sinclair Kiddle,1992-09-25,Bachelor of Science in Food Technology,consequat dui nec,104
2003-68564,Broddy Dearing,1992-03-28,Bachelor of Science in Home Technology,pellentesque quisque,38
2011-37502,Austin Elstub,1994-10-10,Bachelor of Science in Chemistry,luctus,92
2009-00226,Nicky Mussington,2000-06-11,Bachelor of Science in Forestry,eu felis,150
1998-60858,Aldous Jorge,1996-06-12,Bachelor of Science in Sugar Technology,imperdiet et commodo,133
2017-76163,Rosella Diplock,1996-06-22,Bachelor of Science in Agricultural Business,aliquet,184
2011-42130,Daren Rubra,1993-10-04,Bachelor of Science in Computer Science,vestibulum,173
2018-25173,Lishe Lovell,1992-09-15,Bachelor of Science in Agricultural Extension,magna bibendum,73
1993-63606,Manuel Mattinson,1993-02-15,Bachelor of Science in Agricultural Education,faucibus orci,101
2014-08872,Chelsie Duesbury,1997-07-17,Bachelor of Science in Economics,nibh fusce lacus,73
1992-55934,Floria Davis,1998-08-25,Bachelor of Science in Agricultural Engineering,duis mattis egestas,145
2005-96530,Orlan Winterbottom,1994-07-09,Bachelor of Arts in Sociology,eu,34
1995-77534,Milzie Chesney,1992-01-26,Bachelor of Arts in Sociology,eget eros elementum,131
2004-64309,Bern Duckering,1997-01-04,Bachelor of Science in Math and Science Teaching,at nunc,188
2010-52644,Margarete D'Ruel,1991-01-07,Bachelor of Science in Forest Products Engineering,vestibulum proin,176
2013-23909,Maryanne Bossons,1993-06-13,Bachelor of Science in Agribusiness Management,aliquet,176
2012-44636,Chane Gregoletti,1991-09-24,Bachelor of Science in Agricultural Chemistry,nam dui proin,42
2019-18802,Em Harlick,1999-12-15,Bachelor of Science in Civil Engineering,convallis morbi,119
2006-07844,Marcelo Morillas,1994-10-14,Bachelor of Science in Agribusiness Management,rhoncus,51
1991-87478,Brennen Follacaro,1990-03-12,Bachelor of Science in Mathematics,vulputate,194
1992-60681,Janetta MacDermand,1999-06-16,Bachelor of Science in Chemistry,consequat,22
1999-14148,Alidia Mucklow,1996-07-02,Bachelor of Science in Electrical Engineering,pellentesque quisque porta,139
2010-59737,Tucker Farn,1990-01-30,Bachelor of Agriculture,pede morbi porttitor,152
2017-39167,Morris Gudgen,1999-05-24,Bachelor of Science in Agricultural Business,eu nibh quisque,182
2018-73607,Allyn Vondrasek,1996-05-27,Bachelor of Science in Human Ecology,morbi vestibulum velit,32
2002-97034,Aigneis Wanless,1995-03-25,Bachelor of Science in Forest Products Engineering,et magnis dis,174
1993-10966,Lorraine Walcar,1992-06-15,Bachelor of Science in Agricultural Biotechnology,porta,167
2019-84506,Talbot Seymark,1998-07-28,Bachelor of Science in Forest Products Engineering,vel,48
2018-50735,Elvin Klaiser,1990-08-19,Bachelor of Science in Chemical Engineering,sed,122
2019-90725,Shurlock Hymers,1996-09-01,Bachelor of Science in Sugar Technology,lobortis,123
2012-78614,Sisely Spivie,1996-11-22,Bachelor of Science in Applied Physics,ac,109
2012-21323,Ashbey Wait,1992-04-30,Bachelor of Science in Chemistry,enim blandit mi,69
2013-56255,Ursola Merali,1999-01-23,Bachelor of Science in Agribusiness Management,lacus purus,156
2011-99795,Faythe Ollin,1996-07-03,Bachelor of Agriculture,in porttitor,11
2011-35519,Darla Lathe,1994-07-27,Bachelor of Science in Economics,vel dapibus,130
2002-22937,Sydney Castells,2000-10-29,Bachelor of Science in Food Technology,tempus vel,114
2013-65457,Fred Beeble,1997-05-10,Bachelor of Science in Agriculture,suscipit,150
2010-33546,Lexy Cavolini,1995-09-24,Bachelor of Science in Agricultural Biotechnology,magna bibendum,177
1997-28969,Kristo Faichnie,1994-10-08,Bachelor of Science in Agricultural Biotechnology,tempor convallis,27
2017-99772,Yolanthe Messiter,1991-05-13,Bachelor of Science in Botany,id,143
2002-02186,Hermon Symes,1990-05-10,Bachelor of Arts in Sociology,ut,88
1996-69126,Cissy Housegoe,1995-03-02,Bachelor of Science in Development Communication,eu massa donec,134
2013-25147,Brad Gepson,1994-01-15,Bachelor of Science in Civil Engineering,sapien arcu sed,79
2004-59244,Kipp Zelley,1992-03-01,Bachelor of Agriculture,curae nulla,38
2009-54299,Heinrick Scattergood,1993-09-11,Bachelor of Science in Industrial Engineering,condimentum curabitur in,160
2013-51092,Maressa Becken,1995-11-11,Bachelor of Science in Agricultural Chemistry,amet justo,176
1991-89702,Sherlocke Densham,1992-10-27,Bachelor of Science in Agricultural Chemistry,vulputate,80
2000-74709,Ailsun Cranham,1992-02-28,Bachelor of Science in Agricultural Business,fusce consequat nulla,9
1992-40603,Barr O'Sheeryne,2000-03-16,Bachelor of Science in Math and Science Teaching,amet turpis,102
1996-32031,Anni Dalli,1995-01-10,Bachelor of Science in Statistics,mauris,39
